2024-04-01 14:27:54.066 [info] Log level: Info
2024-04-01 14:27:54.066 [info] Validating found git in: "git"
2024-04-01 14:27:54.066 [info] Using git "2.44.0" from "git"
2024-04-01 14:27:54.066 [info] > git rev-parse --show-toplevel [5ms]
2024-04-01 14:27:54.079 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:27:58.934 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:28:51.557 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:29:09.421 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:29:41.863 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:29:53.323 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:29:55.004 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:30:05.743 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:30:09.889 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:30:13.043 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:30:34.994 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:30:46.965 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:31:02.658 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:31:06.864 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:31:09.247 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:31:11.220 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:31:16.441 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:31:42.335 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:31:52.825 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:32:37.822 [info] > git rev-parse --show-toplevel [1ms]
2024-04-01 14:32:58.854 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:33:49.067 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:35:43.207 [info] > git rev-parse --show-toplevel [3ms]
2024-04-01 14:35:51.478 [info] > git rev-parse --show-toplevel [2ms]
2024-04-01 14:38:53.924 [info] > git rev-parse --show-toplevel [2ms]
